company_key,company_name,logo_url,primary_color,accent_color
solomon,Solomon Global,https://solomon-global.com/wp-content/uploads/2024/05/Solomon_Global_Header-1536x230.png,#fffff,#c9a661
exb,Elizabeth Xi Bauer,https://2689098.fs1.hubspotusercontent-na1.net/hubfs/2689098/EXB%20logo%20footer.jpg,#efeee8,#ff8255
